#Table: J/A+A/484/609/catalog.dat (cdsarc.u-strasbg.fr)
-----------------------------------------------------------------------------------------------------------------------------------
    |                     |        |        |      |    e|      |    e|      |   e_|       |    e|       |    e|   |       |
 Seq|     RAdeg      DEdeg|    Xpos|    Ypos|  Bmag|_Bmag|  Vmag|_Vmag| Icmag|Icmag|   pmRA|_pmRA|   pmDE|_pmDE|Pmb|    HRV|     e_
----|---------------------|--------|--------|------|-----|------|-----|------|-----|-------|-----|-------|-----|---|-------|-------
1279|132.935226  11.829207|2966.458|3586.465|20.924|0.156|20.116|0.075|19.286|0.015|  11.48|12.49|   1.55|10.29|  8|999.999|999.999
1280|132.548126  11.828910|8695.588|3590.707|99.999|0.999|19.735|0.044|99.999|0.999|   0.83| 5.24|   8.63| 8.33| 20|999.999|999.999
1281|133.053939  11.829556|1209.443|3591.523|18.249|0.008|17.020|0.034|15.642|0.002|  -0.18| 1.78|  -1.90| 1.90| 88|999.999|999.999
1282|132.790818  11.829452|5103.966|3591.988|22.248|0.024|20.626|0.052|18.414|0.034|   4.82|14.70|  -6.13| 7.26| 33|999.999|999.999
1283|132.971525  11.829821|2429.180|3595.554|16.980|0.008|16.028|0.012|15.039|0.001|  10.71| 8.39|   1.78| 0.42|  0|999.999|999.999
1284|132.721429  11.829583|6131.007|3595.449|16.135|0.009|15.342|0.007|14.498|0.003|  -0.65| 1.19|   1.90| 2.80| 97|999.999|999.999
1285|133.070060  11.829898| 970.867|3596.749|21.865|0.391|21.657|0.488|20.709|0.999|  30.29|13.74|   2.56| 8.15| 10|999.999|999.999
1286|132.643304  11.829550|7287.235|3597.088|22.038|0.273|20.996|0.166|20.219|0.019| -25.05|11.30|  -4.05|18.56| 22|999.999|999.999
1287|132.622297  11.829760|7598.101|3600.929|20.697|0.036|20.207|0.075|19.619|0.002|   1.90|11.84|   9.04| 4.52| 25|999.999|999.999
1288|133.071141  11.830260| 954.872|3602.229|22.672|0.887|21.355|0.352|18.679|0.064|  -3.51|26.89| -13.69|17.61| 44|999.999|999.999
1289|132.849060  11.830355|4241.853|3604.705|12.343|0.005|11.443|0.007|10.532|0.015|  -1.01| 1.01|   1.55| 0.48| 97|999.999|999.999
1290|132.595255  11.829995|7998.236|3605.388|18.410|0.019|17.092|0.012|15.622|0.006|   0.18| 2.44|   0.24| 2.14| 90|999.999|999.999
1291|133.032757  11.830536|1522.918|3606.290|14.395|0.007|13.809|0.002|13.142|0.002|   0.12| 0.95|   1.13| 0.65|100| 33.404|  0.106
1292|132.730892  11.830455|5990.929|3608.409|22.005|0.439|21.116|0.272|20.339|0.074|  21.18|27.91| -21.48|10.71|  2|999.999|999.999
1293|132.851551  11.830680|4204.978|3609.585|15.848|0.006|15.087|0.011|14.263|0.005|   0.65| 3.99|  -2.50| 1.78| 95| 34.331|  0.103
1294|132.803303  11.830630|4919.149|3609.576|21.003|0.119|19.358|0.057|17.573|0.002|  16.12| 9.10|  -9.76| 4.94|  0|999.999|999.999
1295|132.880276  11.830864|3779.786|3612.005|17.849|0.011|16.573|0.007|15.174|0.002|  -1.13| 1.84|   1.01| 1.67| 94|999.999|999.999
1296|132.896711  11.830912|3536.519|3612.551|22.122|0.528|20.622|0.070|18.271|0.005| -11.25|16.60|  -2.56|12.20| 44|999.999|999.999
1297|132.926886  11.831088|3089.874|3614.958|13.153|0.005|12.550|0.014|11.873|0.019|   2.02| 2.02|  -0.48| 1.84|100| 21.382|  0.086
1298|132.958097  11.831169|2627.904|3615.997|20.758|0.179|20.743|0.142|20.030|0.118|  10.00|12.44| -16.48|14.88|  7|999.999|999.999
1299|132.656397  11.830873|7093.434|3616.694|22.175|0.233|21.106|0.236|20.537|0.378|  14.34|43.85| -14.52|38.85| 12|999.999|999.999
1300|133.034170  11.831279|1502.001|3617.535|22.882|0.715|20.948|0.235|18.680|0.999|  -4.52|21.78|  13.98| 9.28| 42|999.999|999.999
1301|132.757984  11.831448|5589.920|3622.808|18.852|0.008|17.552|0.006|16.148|0.008|   6.31| 2.44|  -6.25| 1.84|  2|999.999|999.999
1302|132.886290  11.831800|3690.756|3626.093|22.470|0.504|20.392|0.079|18.676|0.027|   6.01| 5.24|  -4.40| 7.68| 27|999.999|999.999
1303|132.736097  11.831844|5913.854|3629.285|15.318|0.008|14.641|0.008|13.899|0.009|   0.06| 2.26|   0.89| 1.25| 99| 33.241|  0.191
1304|132.858515  11.832075|4101.869|3630.574|15.454|0.015|14.731|0.009|13.916|0.006|  -0.12| 1.31|  -0.12| 1.90| 99| 33.696|  0.190
1305|132.845274  11.832148|4297.872|3631.859|20.406|0.025|19.018|0.049|17.513|0.023|   8.15| 8.69|  -3.63| 3.33|  7|999.999|999.999
1306|132.783352  11.832176|5214.422|3633.304|16.416|0.005|15.545|0.008|14.547|0.006|  -0.36| 1.37|  -0.06| 1.25| 98|999.999|999.999
1307|133.034917  11.832909|1490.926|3642.168|17.545|0.006|16.493|0.006|15.321|0.011|   0.00| 2.44|   0.00| 1.67| 95|999.999|999.999
1308|132.903069  11.833067|3442.377|3645.081|16.378|0.014|15.530|0.007|14.628|0.001|   0.54| 2.02|   0.54| 0.77| 97|999.999|999.999
1309|132.953297  11.833124|2698.934|3645.575|99.999|0.999|20.851|0.087|18.664|0.062|  -0.77| 3.45|   3.87|11.42| 51|999.999|999.999
1310|132.807168  11.833012|4861.891|3645.515|14.878|0.011|14.311|0.005|13.679|0.000|   6.43| 0.71|   4.64| 1.61|  2| 10.148|  0.182
1311|133.089045  11.833201| 689.911|3646.795|22.457|0.999|21.451|0.085|19.655|0.999|  65.27|23.09|  -1.07|13.03|  0|999.999|999.999
1312|132.543404  11.832823|8765.303|3650.037|99.999|0.999|20.607|0.048|99.999|0.999|  -1.13|12.97| -16.07|12.73|  6|999.999|999.999
1313|132.926422  11.833902|3096.709|3657.513|22.424|0.158|20.366|0.199|19.838|0.999|  44.21|20.17|  19.46|13.57|  0|999.999|999.999
1314|132.731367  11.833739|5983.816|3658.046|16.781|0.010|15.917|0.012|15.004|0.002|  10.17| 1.19|   3.21| 1.43|  0|999.999|999.999
1315|132.994897  11.834025|2083.211|3659.051|14.990|0.013|14.297|0.011|13.544|0.008|  -1.19| 4.40|   0.48| 2.20| 99| 32.434|  0.176
1316|132.894014  11.833934|3576.391|3658.276|99.999|0.999|20.757|0.120|18.429|0.127|   1.19|23.44| -16.42| 7.08| 20|999.999|999.999
1317|132.799031  11.833845|4982.312|3658.251|16.359|0.005|15.400|0.004|14.361|0.000|   0.54| 0.89|  -2.14| 1.31| 96|999.999|999.999
1318|132.913468  11.834388|3288.439|3664.961|12.810|0.003|12.238|0.013|11.578|0.006|   0.89| 0.59|   0.95| 0.42| 98| 34.641|  0.056
1319|132.883963  11.834334|3725.161|3664.427|13.221|0.004|12.630|0.003|11.961|0.012|  -2.02| 1.01|   0.42| 0.65| 99| 32.903|  0.045
1320|132.905866  11.834793|3400.950|3671.153|13.185|0.007|12.579|0.009|11.907|0.002|  -2.44| 1.90|   0.65| 1.01| 99| 34.322|  0.037
1321|132.659630  11.834530|7045.487|3671.892|99.999|0.999|21.516|0.530|20.115|0.999|  95.32|29.27|  54.56|29.99|  0|999.999|999.999
1322|132.876689  11.834951|3832.809|3673.828|16.821|0.007|15.774|0.004|14.623|0.006|   0.24| 1.25|   1.01| 1.84| 97|999.999|999.999
1323|132.829237  11.834912|4535.193|3673.884|13.147|0.009|12.533|0.005|11.870|0.007|  -0.59| 0.83|   1.07| 1.55|100|999.999|999.999
1324|132.756852  11.835013|5606.585|3676.738|22.155|0.999|20.640|0.155|18.356|0.118| -22.85|18.98|  -0.59|12.49| 17|999.999|999.999
1325|132.941488  11.835392|2873.688|3679.931|99.999|0.999|20.537|0.203|17.692|0.048| -27.49|16.78| -13.86|15.83|  1|999.999|999.999
1326|133.083776  11.835423| 767.867|3680.355|21.759|0.276|19.656|0.071|17.017|0.060|  -1.37| 6.49| -12.91| 4.22|  5|999.999|999.999
1327|132.926425  11.835454|3096.635|3680.977|12.655|0.011|11.598|0.008|10.549|0.006|   1.25| 2.86|  -0.24| 3.87| 98|999.999|999.999
1328|132.924849  11.835455|3119.961|3681.001|21.809|0.053|20.859|0.228|19.902|0.999|  55.51|26.24|  73.66| 3.51|  0|999.999|999.999
1329|132.784943  11.835491|5190.799|3683.390|14.164|0.003|13.566|0.005|12.926|0.008|   0.48| 1.31|  -2.98| 1.84| 99|999.999|999.999
1330|132.574706  11.835681|8302.091|3692.070|22.417|0.221|20.725|0.231|19.294|0.356|  -4.46|17.14|  12.97|19.99| 36|999.999|999.999
1331|132.759998  11.836136|5559.989|3693.644|21.494|0.083|20.371|0.082|18.845|0.046|  45.16|19.28| -53.07|12.73|  0|999.999|999.999
1332|132.754412  11.836352|5642.667|3697.031|13.448|0.008|12.713|0.006|11.928|0.000|   0.36| 1.31|  -2.86| 1.67|100| 32.787|  0.036
1333|132.884676  11.836526|3714.564|3697.555|99.999|0.999|21.822|0.170|20.711|0.999|  20.23|20.29| -19.81|18.56| 15|999.999|999.999
1334|132.866453  11.836636|3984.288|3699.428|15.083|0.007|14.403|0.007|13.669|0.000|   0.77| 1.61|  -1.84| 0.89| 99| 32.923|  0.206
1335|132.974549  11.837126|2384.329|3705.987|21.398|0.049|20.711|0.121|20.044|0.079|  23.80|16.66|  -7.38|16.78|  1|999.999|999.999
1336|132.827385  11.837303|4562.551|3710.050|16.602|0.006|15.588|0.006|14.490|0.006|   0.36| 1.13|  -0.71| 0.71| 97|999.999|999.999
1337|132.983828  11.837441|2246.989|3710.724|13.850|0.002|12.878|0.008|11.901|0.018|   0.77| 5.12|  -0.36| 3.87|100|999.999|999.999
1338|132.813935  11.837303|4761.626|3710.269|13.372|0.012|12.795|0.003|12.163|0.024|   1.19| 1.37|  -2.56| 2.86|100|999.999|999.999
1339|132.535562  11.837176|8881.160|3716.140|99.999|0.999|21.154|0.055|99.999|0.999|   4.11|17.37| -12.44|11.01| 24|999.999|999.999
1340|132.729939  11.837988|6004.848|3722.316|20.042|0.050|18.990|0.021|17.818|0.004|   9.40| 3.99|  -5.24| 8.63|  2|999.999|999.999
1341|132.897805  11.838674|3520.196|3729.899|20.883|0.105|19.881|0.049|18.974|0.049|  13.74| 5.06|   3.21| 6.37|  2|999.999|999.999
1342|132.826093  11.838787|4581.645|3732.508|14.935|0.006|14.285|0.005|13.547|0.001|   1.37| 1.49|  -0.36| 0.06| 99| 33.684|  0.154
1343|132.950244  11.839133|2744.042|3736.441|99.999|0.999|20.864|0.069|18.289|0.093| -30.94| 8.57| -16.30| 3.09|  3|999.999|999.999
1344|132.662464  11.838847|7003.421|3737.072|22.126|0.233|20.253|0.068|17.599|0.043|  37.78|10.41|  -3.69|16.72|  0|999.999|999.999
1345|132.806923  11.839322|4865.373|3740.916|22.040|0.122|20.765|0.118|18.810|0.999|  10.12|25.05|  -9.76|18.33| 19|999.999|999.999
1346|133.030914  11.839472|1550.112|3741.391|13.960|0.130|13.185|0.003|12.518|0.011|   2.08| 1.43|  -0.54| 3.39| 99|999.999|999.999
1347|132.636535  11.839162|7387.110|3742.604|19.273|0.026|18.003|0.010|16.572|0.013|  -4.52| 4.34|   1.49| 5.00| 67|999.999|999.999
1348|132.874514  11.839684|3864.925|3745.412|15.139|0.003|14.379|0.002|13.556|0.001|  -0.12| 1.19|  -0.06| 1.49| 99|999.999|999.999
1349|132.833859  11.839774|4466.677|3747.319|14.546|0.011|13.950|0.003|13.290|0.005|  -1.07| 0.77|   0.89| 1.43|100|999.999|999.999
1350|132.897603  11.840000|3523.175|3749.951|21.450|0.999|21.128|0.085|18.898|0.999|  30.46|13.33|   5.53|23.32|  3|999.999|999.999
1351|132.554218  11.839536|8605.068|3751.100|99.999|0.999|17.257|0.007|99.999|0.999|  19.87| 2.14| -25.59| 7.62|  0|999.999|999.999
1352|132.898773  11.840243|3505.844|3753.602|22.187|0.041|20.723|0.154|19.470|0.135|  30.76|21.00|  14.46|13.80|  0|999.999|999.999
1353|132.589902  11.839759|8077.119|3753.181|15.098|0.005|14.414|0.003|13.702|0.009|   0.65| 2.26|  -1.25| 1.31| 99| 34.683|  0.149
1354|132.896736  11.840460|3536.002|3756.903|21.041|0.102|19.371|0.039|17.237|0.035|  11.96| 8.09|   8.75| 5.83|  1|999.999|999.999
1355|132.786743  11.840885|5164.033|3764.907|19.385|0.040|17.953|0.023|16.367|0.001|  -1.78| 2.62|  -1.19| 3.09| 79|999.999|999.999
1356|132.916643  11.841546|3241.336|3773.151|21.444|0.071|21.049|0.147|20.296|0.068|  12.02|21.90| -19.81|23.09|  8|999.999|999.999
1357|132.620502  11.841420|7624.289|3777.254|19.528|0.024|17.979|0.016|16.315|0.102|   2.26| 5.06|  -4.40| 7.74| 47|999.999|999.999
1358|132.886172  11.841921|3692.327|3779.102|16.629|0.009|15.754|0.003|14.814|0.005|   1.19| 2.02|  -2.56| 1.43| 93|999.999|999.999
1359|132.896473  11.842101|3539.862|3781.720|21.990|0.390|20.452|0.125|19.074|0.004|  10.89|13.15| -15.83|11.84|  3|999.999|999.999
1360|132.881460  11.842302|3762.067|3784.921|21.748|0.160|19.945|0.092|17.683|0.007|   0.12|10.65|  12.32| 4.58| 14|999.999|999.999
1361|132.806714  11.842418|4868.406|3787.719|22.743|0.682|20.885|0.372|20.414|0.999|  59.92|33.38| -17.25|21.30|  0|999.999|999.999
1362|132.870801  11.842527|3919.829|3788.443|11.614|0.017|10.492|0.012| 9.398|0.024|   0.06| 0.77|   2.20| 3.57| 97| 33.650|  0.008
1363|132.815147  11.842461|4743.585|3788.226|22.983|0.335|20.855|0.066|18.437|0.289|  23.98|14.46|   3.45| 3.75|  4|999.999|999.999
1364|132.800818  11.842511|4955.665|3789.237|15.632|0.009|14.870|0.003|14.031|0.006|   0.54| 0.89|   0.89| 1.19| 98| 41.594|  0.120
1365|133.055237  11.842711|1190.141|3790.426|21.389|0.256|21.111|0.261|20.323|0.423|   6.72|33.32|  19.64|26.42| 22|999.999|999.999
1366|132.999759  11.842949|2011.161|3793.963|19.594|0.018|17.985|0.012|16.145|0.009|   1.49| 6.19|   2.38| 4.17| 72|999.999|999.999
1367|132.802826  11.842933|4925.939|3795.569|14.214|0.007|13.632|0.008|12.990|0.009|  -0.59| 0.95|   0.89| 1.43|100|999.999|999.999
1368|132.646671  11.842743|7237.012|3796.433|20.322|0.126|20.092|0.045|19.577|0.003|   7.50| 9.64|   3.21| 8.92| 19|999.999|999.999
1369|132.853812  11.843297|4171.285|3800.300|21.170|0.154|19.337|0.065|17.116|0.024|  -2.62| 3.45|   3.39| 2.74| 51|999.999|999.999
1370|132.737945  11.843391|5886.215|3803.801|21.958|0.164|20.425|0.079|18.789|0.083|   4.05|12.61| -16.84|15.47|  6|999.999|999.999
1371|132.947601  11.843619|2783.091|3804.272|20.777|0.097|19.381|0.080|18.297|0.013|  21.60| 9.10| -13.27| 8.15|  0|999.999|999.999
1372|132.991719  11.843784|2130.132|3806.608|21.412|0.105|19.725|0.069|17.536|0.020|  -4.52| 4.52|  12.14| 6.60| 10|999.999|999.999
1373|132.947545  11.843637|2783.930|3804.546|20.804|0.097|19.327|0.035|18.291|0.295|-204.32|45.16|  66.94|54.80|  0|999.999|999.999
1374|132.806701  11.843901|4868.568|3810.146|13.037|0.068|12.270|0.044|11.528|0.027|  -3.45| 2.14|  -5.65| 3.75| 42|999.999|999.999
1375|132.879474  11.844192|3791.429|3813.510|21.792|0.330|19.875|0.119|17.526|0.016|   6.49| 4.64|  -2.14| 5.77| 21|999.999|999.999
1376|132.913585  11.844536|3286.554|3818.377|22.675|0.147|20.715|0.164|19.185|0.240|  24.10| 7.26|   6.07|16.90|  2|999.999|999.999
1377|132.885745  11.844607|3698.615|3819.715|12.456|0.002|12.250|0.008|11.939|0.023|  -0.89| 1.25|  -0.24| 1.90| 98|-29.728|  0.793
1378|132.810158  11.844515|4817.385|3819.370|13.968|0.010|13.379|0.004|12.730|0.023|  -0.36| 1.43|   0.30| 1.49|100| 33.202|  0.080
1379|132.884205  11.844626|3721.395|3820.019|23.177|0.714|20.988|0.336|19.917|0.999| -97.64| 2.20| -62.12| 8.92|  0|999.999|999.999
1380|132.739931  11.845996|5856.758|3843.151|20.279|0.089|19.062|0.097|19.842|0.136|   1.90| 8.09|  20.47|23.98|  0|999.999|999.999
1381|132.577364  11.847169|8262.372|3865.634|22.245|0.133|20.546|0.182|18.399|0.160|  35.58|14.70|  15.59|12.14|  0|999.999|999.999
1382|132.929702  11.850582|3047.922|3909.660|19.219|0.022|17.647|0.008|15.845|0.014|   0.48| 7.79|  -7.62|11.72| 12|999.999|999.999
1383|132.888249  11.850611|3661.443|3910.458|21.837|0.123|19.820|0.054|17.671|0.061|   3.63| 5.18|  -9.10|11.54| 12|999.999|999.999
1384|132.814065  11.850782|4759.428|3914.045|20.214|0.048|19.479|0.006|18.747|0.020|   4.40| 4.70|  -4.94| 6.96| 23|999.999|999.999
1385|132.753523  11.851505|5655.453|3926.127|18.536|0.004|17.751|0.011|16.824|0.010|   3.51| 2.98|  -5.95| 2.44| 17|999.999|999.999
1386|132.737561  11.851614|5891.686|3928.134|21.649|0.066|20.248|0.093|18.260|0.092|  10.89|18.45|   7.79| 2.92| 10|999.999|999.999
1387|132.874854  11.852505|3859.666|3939.236|14.724|0.004|14.098|0.002|13.398|0.000|   0.59| 3.75|  -1.55| 7.97| 99| 33.828|  0.135
1388|132.728079  11.852591|6031.997|3943.126|14.078|0.004|13.515|0.003|12.888|0.015|   2.92| 0.42|  -1.84| 2.44| 99|999.999|999.999
1389|132.774792  11.852725|5340.644|3944.126|13.894|0.010|13.318|0.003|12.667|0.003|   9.64| 3.69|   6.37| 2.50|  0| 34.077|  0.101
1390|132.892983  11.852900|3591.339|3945.019|11.071|0.010|10.915|0.009|10.604|0.009|   5.59| 4.76|  -4.05| 6.90| 76|999.999|999.999
1391|132.951361  11.853305|2727.314|3950.692|13.165|0.011|12.508|0.008|11.777|0.007|   0.65| 5.18| -13.09|11.60|  0| 30.693|  0.047
1392|132.749200  11.853500|5719.390|3956.381|15.527|0.002|14.811|0.004|14.047|0.000|  -1.49| 2.08|  -1.61| 0.77| 97| 34.171|  0.167
1393|132.917151  11.853776|3233.627|3958.047|21.542|0.093|19.606|0.051|17.148|0.038| -23.21| 1.78|  -0.59| 8.63|  0|999.999|999.999
1394|132.870783  11.853854|3919.894|3959.686|18.968|0.011|17.569|0.017|16.062|0.004|   4.34| 3.57|  -4.58|10.00| 24|999.999|999.999
1395|132.932789  11.854516|3002.169|3969.121|22.790|0.999|21.471|0.230|19.639|0.999|   3.39|12.38|  30.76|22.73| 22|999.999|999.999
1396|132.887789  11.854447|3668.184|3968.467|16.043|0.003|15.236|0.005|14.349|0.012|   2.62| 1.84|  -3.69| 6.13| 74|999.999|999.999
1397|132.882992  11.854616|3739.183|3971.065|14.631|0.001|14.009|0.003|13.304|0.001|   1.84| 2.32|  -3.03| 5.89| 97| 36.808|  0.165
1398|132.629371  11.854531|7492.632|3975.167|17.945|0.007|16.944|0.010|16.704|0.007| -11.54| 2.62|  10.29| 6.96|  0|999.999|999.999
1399|132.632822  11.854652|7441.567|3976.898|19.374|0.035|18.204|0.017|16.897|0.017|   5.18| 3.39|   4.34| 4.22| 22|999.999|999.999
1400|132.589355  11.854549|8084.713|3976.776|21.396|0.126|20.086|0.036|18.021|0.018|  22.55|15.83|  19.40| 8.87|  0|999.999|999.999
1401|132.623783  11.854675|7575.308|3977.522|20.582|0.121|19.372|0.043|17.995|0.051|  12.73| 8.09|  -1.37| 4.70|  1|999.999|999.999
1402|132.806740  11.855071|4867.753|3979.015|14.175|0.011|13.599|0.002|12.976|0.007|   1.31| 0.54|  -0.95| 2.02|100|999.999|999.999
1403|132.607291  11.854864|7819.331|3980.931|21.968|0.365|20.175|0.102|18.264|0.013|   7.85|17.79|  -0.12|20.65| 22|999.999|999.999
1404|132.876349  11.856158|3837.480|3994.450|15.639|0.001|14.895|0.004|14.095|0.005|   2.08| 3.87|  -3.03| 7.79| 90|999.999|999.999
1405|132.926520  11.856397|3094.922|3997.598|12.295|0.010|11.219|0.007|10.171|0.005|   1.43| 4.05| -12.32|10.29|  0|999.999|999.999
1406|132.729498  11.856224|6010.907|3998.015|15.814|0.002|15.297|0.008|14.678|0.001|   5.65| 0.42|   3.57| 1.43| 10|999.999|999.999
1407|132.571997  11.855867|8341.473|3997.321|99.999|0.999|20.971|0.179|19.880|0.999|   1.07| 5.47| -48.25|10.71|  0|999.999|999.999
1408|132.761613  11.857062|5535.587|4009.969|15.398|0.007|14.543|0.008|13.627|0.002|   4.34| 0.24|   1.19| 2.44| 90| 99.701|  0.086
1409|132.633563  11.857292|7430.523|4016.778|16.130|0.004|15.455|0.008|14.723|0.011|   9.58| 2.56|   1.31| 2.92|  0|999.999|999.999
1410|132.808232  11.858079|4845.606|4024.458|19.832|0.022|18.189|0.027|16.287|0.013|   4.11| 6.49|   4.82| 3.99| 29|999.999|999.999
1411|132.874416  11.858310|3866.050|4027.002|13.792|0.002|13.299|0.009|12.715|0.011|   2.92| 3.27|  -2.74| 7.20| 99|999.999|999.999
1412|132.734694  11.858124|5933.955|4026.607|14.703|0.004|14.102|0.002|13.423|0.010|  -2.56| 1.13|  -0.83| 1.43| 99|999.999|999.999
1413|132.960734  11.858687|2588.534|4032.015|16.390|0.017|15.723|0.010|14.976|0.026|   1.31| 5.77|  -7.62| 9.10|  3|999.999|999.999
1414|132.654810  11.858931|7116.082|4040.909|18.401|0.018|17.140|0.004|15.698|0.004|  -6.84| 6.96|  -1.25| 3.81| 29|999.999|999.999
1415|132.926487  11.859398|3095.370|4042.966|22.517|0.377|21.899|0.207|99.999|0.999|  25.59|26.06|   1.55|36.06| 14|999.999|999.999
1416|132.745187  11.860677|5778.603|4064.971|20.189|0.072|20.056|0.064|19.469|0.005|  28.14| 2.62|  -8.75|14.40|  0|999.999|999.999
1417|132.896574  11.860962|3538.063|4066.864|16.096|0.004|15.294|0.006|14.443|0.007|   5.65| 3.39|  -2.08| 4.76| 24|999.999|999.999
1418|132.766005  11.860913|5470.492|4068.091|20.400|0.043|18.646|0.009|16.854|0.018|   1.55| 5.00|  -3.09| 2.50| 57|999.999|999.999
1419|132.914120  11.861095|3278.383|4068.722|22.999|0.364|20.858|0.283|20.146|0.999| -64.74|23.21|  40.40|19.69|  0|999.999|999.999
1420|132.805650  11.861143|4883.751|4070.820|14.464|0.005|13.434|0.002|12.349|0.002|  -0.12| 0.71|  -0.42| 1.84|100|999.999|999.999
1421|132.764732  11.861225|5489.330|4072.833|18.408|0.028|17.151|0.013|15.783|0.006|  -2.44| 0.89|   0.89| 0.59| 87|999.999|999.999
1422|132.955381  11.861834|2667.718|4079.616|21.626|0.071|21.147|0.296|20.322|0.999|  -7.97|13.57| -51.47|55.81|  0|999.999|999.999
1423|132.949945  11.862046|2748.155|4082.852|20.633|0.104|19.985|0.056|19.156|0.009|  12.14| 8.03|  -1.01|12.49|  5|999.999|999.999
1424|132.890226  11.862493|3631.980|4090.072|13.825|0.009|13.203|0.005|12.501|0.000|   1.49| 2.50|  -1.25| 3.87| 99| 56.481|  0.300
1425|132.914113  11.862673|3278.461|4092.579|13.103|0.002|12.102|0.011|11.093|0.020|  -5.35| 8.87|  -5.18| 4.34| 25| 34.235|  0.019
1426|132.585467  11.862234|8141.973|4093.094|18.314|0.008|17.288|0.017|16.121|0.002|  15.71| 6.07| -10.12| 3.27|  0|999.999|999.999
1427|132.866132  11.862815|3988.572|4095.221|15.411|0.004|14.635|0.002|13.766|0.011|   1.55| 1.61|  -1.25| 3.21| 99|999.999|999.999
1428|132.768706  11.862763|5430.474|4096.001|14.709|0.011|14.044|0.008|13.297|0.002|  -1.55| 1.55|  -1.07| 0.95| 99|999.999|999.999
1429|132.718120  11.864288|6179.073|4120.189|20.468|0.128|19.701|0.051|18.833|0.016|  13.74| 8.15|   0.42| 6.66|  2|999.999|999.999
1430|132.862554  11.864588|4041.506|4122.072|10.963|0.025|10.940|0.016|10.821|0.017|   3.21| 1.84|   0.83| 2.50| 96|-51.449|  0.762
1431|132.803629  11.864702|4913.590|4124.669|20.836|0.082|19.093|0.045|17.234|0.002|   3.93| 8.21|   3.81| 2.98| 34|999.999|999.999
1432|132.624795  11.864430|7560.028|4124.968|22.142|0.999|20.894|0.318|18.687|0.032|  17.97|15.83|  35.64|34.99|  0|999.999|999.999
1433|132.937510  11.864958|2932.148|4126.958|21.503|0.092|20.777|0.196|19.770|0.294|  39.51|13.45| -15.29| 3.09|  0|999.999|999.999
1434|132.900963  11.864974|3473.034|4127.486|21.602|0.222|20.460|0.028|19.181|0.035|  17.49| 7.50| -15.23| 1.55|  1|999.999|999.999
1435|132.653881  11.864643|7129.656|4127.297|21.200|0.194|20.208|0.189|19.192|0.081|   3.51| 5.53| -19.93|27.07|  1|999.999|999.999
1436|132.734046  11.865451|5943.358|4137.391|15.358|0.002|14.643|0.004|13.891|0.000|  11.66| 0.59|  -3.99| 1.19|  0| -4.678|  0.091
1437|132.781509  11.865688|5240.932|4139.971|15.635|0.008|14.896|0.006|14.125|0.001|   0.06| 2.56|  -1.07| 1.01| 98| 34.812|  0.134
1438|132.881476  11.865957|3761.432|4142.533|15.656|0.004|14.898|0.005|14.050|0.012|  13.69| 2.02|   4.22| 3.63|  0|999.999|999.999
1439|132.713358  11.865854|6249.505|4143.978|19.902|0.046|18.306|0.028|16.573|0.006|  -0.48| 4.11|  -3.21| 5.12| 66|999.999|999.999
1440|132.725336  11.865941|6072.245|4145.004|21.675|0.208|19.535|0.017|17.313|0.031|   1.96| 6.54|  -7.91| 5.35| 18|999.999|999.999
1441|132.814331  11.866091|4755.167|4145.490|15.756|0.009|15.008|0.005|14.226|0.005|  -1.31| 2.38|   0.24| 2.02| 98| 34.404|  0.120
1442|132.870020  11.866648|3930.971|4153.124|13.339|0.006|12.653|0.006|11.912|0.023|  -0.06| 0.83|  -0.24| 1.31|100| 33.494|  0.037
1443|132.630554  11.866266|7474.770|4152.535|22.501|0.385|20.503|0.206|18.266|0.999|  22.97| 4.34|  16.12|20.59|  0|999.999|999.999
1444|132.597469  11.866247|7964.273|4153.340|15.424|0.002|14.592|0.006|13.729|0.005|   9.34| 5.41|  -0.30| 2.74|  0|999.999|999.999
