#Table: J/A+A/484/609/catalog.dat (cdsarc.u-strasbg.fr)
-----------------------------------------------------------------------------------------------------------------------------------
    |                     |        |        |      |    e|      |    e|      |   e_|       |    e|       |    e|   |       |
 Seq|     RAdeg      DEdeg|    Xpos|    Ypos|  Bmag|_Bmag|  Vmag|_Vmag| Icmag|Icmag|   pmRA|_pmRA|   pmDE|_pmDE|Pmb|    HRV|     e_
----|---------------------|--------|--------|------|-----|------|-----|------|-----|-------|-----|-------|-----|---|-------|-------
 116|132.543813  11.610247|8767.245| 285.638|99.999|0.999|19.455|0.033|99.999|0.999|  -7.74|11.30|   3.51| 7.02| 32|999.999|999.999
 117|132.896790  11.611231|3538.807| 291.631|21.730|0.152|21.372|0.194|20.272|0.999|  38.20|10.17|  17.25|19.22|  1|999.999|999.999
 118|132.731985  11.611236|5980.266| 294.594|20.083|0.047|19.538|0.054|18.900|0.014|  12.08| 7.14|  -8.45|10.65|  1|999.999|999.999
 119|132.727729  11.611341|6043.317| 296.280|20.680|0.139|18.953|0.035|16.937|0.031|   2.68| 8.81|  -2.86| 9.28| 45|999.999|999.999
 120|132.549546  11.611149|8682.317| 299.032|99.999|0.999|19.809|0.017|99.999|0.999|   0.30| 2.74|   0.89| 3.93| 54|999.999|999.999
 121|132.585330  11.611241|8152.431| 299.091|17.314|0.023|16.584|0.013|15.788|0.002| -10.71| 3.39| -21.12| 4.11|  0|999.999|999.999
 122|133.023106  11.611954|1667.601| 301.849|19.631|0.008|19.222|0.056|18.532|0.018|   6.78| 4.46|   2.74| 3.75| 18|999.999|999.999
 123|132.947436  11.612181|2788.512| 305.555|16.866|0.005|15.988|0.011|15.023|0.010|   8.75| 4.34|   3.09| 2.80|  0|999.999|999.999
 124|132.726230  11.612329|6065.484| 311.261|15.944|0.025|15.167|0.024|14.295|0.013|   7.79| 5.77|   3.57| 9.34|  0|999.999|999.999
 125|133.092696  11.613033| 636.879| 318.319|18.070|0.014|16.812|0.019|15.356|0.004|  -7.79| 5.59|  -0.36| 3.27| 12|999.999|999.999
 126|132.927522  11.613724|3083.505| 329.027|17.724|0.016|16.624|0.009|15.385|0.013|   0.36| 1.49|   3.87| 1.25| 81|999.999|999.999
 127|132.592643  11.613318|8044.063| 330.222|22.780|0.594|20.738|0.073|19.305|0.268|   6.49|18.33|  -8.69|34.33| 27|999.999|999.999
 128|132.881084  11.614100|3771.435| 335.177|21.788|0.142|20.134|0.142|17.548|0.029|   2.44| 8.57|   0.59| 8.69| 39|999.999|999.999
 129|132.904241  11.614362|3428.373| 338.877|15.583|0.002|14.762|0.026|13.810|0.003|   3.15| 2.56|   1.25| 3.63| 93|999.999|999.999
 130|132.881628  11.614901|3763.364| 347.276|21.281|0.134|19.754|0.082|18.470|0.016|  22.55| 2.92|   3.27| 9.64|  0|999.999|999.999
 131|132.780913  11.614882|5255.385| 348.613|13.906|0.008|13.343|0.009|12.677|0.005|  -2.98| 7.97| -21.30|19.10|  0| 36.196|  0.082
 132|133.070907  11.615190| 959.573| 350.819|99.999|0.999|21.488|0.457|19.820|0.999|   9.40|42.78|  69.08|48.49|  0|999.999|999.999
 133|133.052769  11.615243|1228.221| 351.577|20.974|0.202|19.314|0.048|17.254|0.001|   8.03| 8.81|   9.58| 5.41|  3|999.999|999.999
 134|132.970949  11.615377|2440.157| 353.732|21.660|0.112|22.092|0.142|99.999|0.999|  38.62|48.02| -39.98|23.21|  0|999.999|999.999
 135|132.846252  11.615943|4287.414| 363.508|18.199|0.022|16.785|0.020|15.138|0.006|   8.33| 3.57|  -3.27| 9.94|  1|999.999|999.999
 136|132.859465  11.616020|4091.671| 364.480|99.999|0.999|21.180|0.069|19.773|0.085|   5.06|10.35|  -9.04| 8.09| 38|999.999|999.999
 137|132.837762  11.615987|4413.186| 364.304|18.216|0.019|17.737|0.028|17.087|0.011|   6.49| 3.15|  -6.66|13.15|  1|999.999|999.999
 138|133.038095  11.616242|1445.554| 366.665|18.500|0.001|17.133|0.012|15.560|0.006|  -3.21| 3.63|   2.56| 4.40| 78|999.999|999.999
 139|132.907043  11.616196|3386.846| 366.577|21.791|0.530|20.983|0.283|20.598|0.999|   9.88|34.21|  -7.08|36.53| 25|999.999|999.999
 140|132.650843  11.616068|7182.029| 369.861|20.249|0.034|18.595|0.013|16.704|0.014|   4.28| 5.18|  -1.13| 3.21| 45|999.999|999.999
 141|133.056946  11.616555|1166.337| 371.423|21.412|0.075|20.537|0.235|19.399|0.026| -26.00|22.31|  22.61|19.87|  0|999.999|999.999
 142|132.850970  11.616584|4217.515| 373.130|21.061|0.097|20.556|0.078|19.972|0.041| -17.14|19.75|  18.15| 9.94|  5|999.999|999.999
 143|132.859831  11.616867|4086.242| 377.279|20.556|0.035|20.081|0.216|18.928|0.173| -28.50|47.72| -14.34|14.82|  0|999.999|999.999
 144|132.804366  11.616769|4907.903| 376.691|22.015|0.999|21.076|0.233|18.465|0.999|  17.73|26.89| -34.09|29.93|  1|999.999|999.999
 145|132.881387  11.616990|3766.901| 378.857|21.608|0.080|20.131|0.089|18.807|0.173|  20.94|10.77|   5.06|14.52|  0|999.999|999.999
 146|132.919687  11.617338|3199.515| 383.716|21.597|0.273|20.373|0.111|17.841|0.046|  14.10|11.96|   5.30|12.44|  8|999.999|999.999
 147|133.035840  11.617467|1478.949| 385.183|22.068|0.532|20.116|0.058|17.820|0.076|  12.49|11.07|   2.98| 7.38|  7|999.999|999.999
 148|132.907054  11.617722|3386.653| 389.641|12.625|0.000|12.248|0.029|11.716|0.009|   1.31| 1.07|   2.38| 2.56| 96|999.999|999.999
 149|133.053946  11.617988|1210.760| 393.069|19.244|0.014|17.668|0.018|15.863|0.001|   6.84| 6.19|  14.46| 2.62|  0|999.999|999.999
 150|133.001835  11.618008|1982.632| 393.384|20.472|0.055|18.965|0.018|17.330|0.018|   7.91|13.27|  -1.43| 6.31| 11|999.999|999.999
 151|132.591488  11.617582|8061.030| 394.706|22.593|0.208|21.657|0.360|20.094|0.999|  25.35| 5.47|  -2.38|22.49| 16|999.999|999.999
